	SRR6171591	SRR6171610	SRR6171613	SRR6171628	SRR6171632	SRR6171861	SRR6171863	SRR6171996	SRR6172005	SRR6172047	SRR6172048	SRR6172125	SRR6172126	SRR6172133	SRR6172162	SRR6172163	SRR6172165	SRR6172166	SRR6172218	SRR6172219	SRR6172263	SRR6172267	SRR6173526	SRR6173691	SRR6173720	SRR6173734	SRR6173743	SRR6173747	SRR6173774	SRR6173776
ASV 164 _	0	20	126	0	0	156	926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 165 _	0	765	340	0	0	24	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	22	11	5
ASV 166 _	0	0	0	0	0	0	0	93	151	96	0	0	183	186	23	12	41	192	18	112	83	33	0	0	0	0	0	0	0	0
ASV 167 _	0	362	38	128	0	72	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	36	113	5	270	72	46
ASV 168 _	15	96	34	74	16	75	219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	135	50	135	60	75	92	83
ASV 169 _	178	15	13	457	155	10	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	99	0	13	105	16	11	22
ASV 170 _	0	118	288	22	0	7	189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	127	37	93	11	202	14	30
ASV 171 _	394	19	347	2	7	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	343	22	47	6
ASV 172 _	0	28	188	6	0	244	320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	35	365	0	0	0	0	0
ASV 173 _	426	10	0	9	56	9	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	6	46	433	77	49	42
ASV 174 _	200	80	39	7	2	6	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	231	134	197	165	86
ASV 175 _	271	0	0	91	578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125	51	21	4	42	0	5	0
ASV 176 _	112	29	8	71	103	0	274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	235	29	43	24	178	20	31	28
ASV 177 _	193	37	0	132	425	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	13	0	11	300	15	0	0
ASV 178 _	8	74	59	0	0	290	402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	19	163	63	0	8	44	50
ASV 179 _	0	117	83	87	0	49	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	309	17	59	8	98	24	86
ASV 180 _	0	389	248	0	0	41	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	18	19	30	15	29	89	206
ASV 181 _	34	72	140	38	33	92	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	52	41	161	63	78	157	103
ASV 182 _	0	104	207	0	4	139	190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	7	171	7	116	56	160
ASV 183 _	0	0	0	0	0	533	337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	2	0	120	89
ASV 184 _	189	41	6	224	230	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	50	0	5	268	22	0	29
ASV 185 _	0	228	73	0	14	239	173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	63	18	250	20	52
ASV 186 _	0	203	256	0	0	15	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	359	79	3	64	4	104	38	14
